"","subj","congruent","incongruent"
"1",1,1794.52499999851,1877.64999999925
"2",2,1738.0166666665,1847.74999999894
"3",3,2254.95454545996,2541.11000000089
"4",4,3444.59999999404,3756.19999999801
"5",5,2246.20909091017,2236.82000000328
"6",6,1152.54999999205,1235.5444444418
"7",7,1040.62105263848,1154.40000000367
"8",9,1765.92380952409,1920.39090908928
"9",10,2706.90769229944,3175.95000000596
"10",11,3261.37142857143,2968.66923076923
"11",12,2084.39374998212,2242.9375000298
"12",13,2677.33333330154,2494.4062500149
"13",14,3395.11428563935,3015.80625009537
"14",15,2785.43464285654,3260.54307687669
"15",16,2769.61249998957,2218.48571429082
"16",17,2692.61333333353,2773.625
"17",18,1349.93999999762,1306.91249999963
"18",19,999.427272728898,551.1
"19",20,1099.58333334078,1353.73684210526
"20",21,2482.19333333969,2057.13124999404
"21",22,3029.66000000834,3838.13333333035
"22",23,1131.35000000149,908.128571429423
"23",24,2600.98461537636,3051.72222222222
"24",25,1418.80000000001,1323.95
"25",26,499.249999999993,729.124999999993
"26",27,1364.8,1151
"27",28,3416.81999993324,4367.73749998212
"28",29,2273.31538460805,1768.92631577191
"29",30,3204.04285714243,3083.88571428827
"30",31,3916.36249999981,3552.82499999925
"31",32,1402.13076923078,1487.67368421032
"32",33,1196.42727273703,1882.30499999523
"33",34,2534.2857142772,2291.44615387
"34",35,1522.5312500149,1875.16249999404
"35",36,2009.66666666668,2030.08333333332
"36",37,1900.18750000001,1602.92857142856
"37",38,2668.52777777612,2777.80714285799
"38",39,1462.46470588446,1254.05333333015
"39",40,609.971428568874,1107.38333333035
"40",41,836.36666666468,524.699999993046
"41",42,2518.35454545441,2224.90999999996
"42",43,1395.17647058823,1227.90666666667
"43",45,4274.8066666762,4068.35000002384
"44",46,1160.14285715989,1327.60555555423
"45",47,2078.1,2020.33333333333
"46",48,2004.27499999106,2342.55333334605
"47",49,4580.89999999603,3741.61999999881
"48",50,1258.99230769248,1371.40909090841
"49",51,2108.11249998212,2668.39999998871
"50",52,2137.33124998212,2593.5428571701
"51",53,2534.2857142772,2291.44615387
"52",54,1196.42727273703,1882.30499999523
"53",55,943.888888888882,1545.3846153846
"54",56,841.5,849.499999999993
"55",57,3302.42727272687,4362.01818181845
"56",58,2166.17857142006,1910.24444443981
"57",59,3336.71428571429,3444.52941176471
"58",60,2724.88888888889,3055.50000001987
"59",61,3896.42499997218,4084.74285711561
"60",62,4045.52222222235,4384.05
"61",63,2600.98461537636,3051.72222222222
"62",64,1131.35000000149,908.128571429423
"63",65,2518.35454545441,2224.90999999996
"64",66,836.36666666468,524.699999993046
"65",67,609.971428568874,1107.38333333035
"66",68,1462.46470588446,1254.05333333015
"67",69,2668.52777777612,2777.80714285799
"68",70,1900.18750000001,1602.92857142856
"69",71,2009.66666666668,2030.08333333332
"70",72,1522.5312500149,1875.16249999404
"71",73,3395.11428563935,3015.80625009537
"72",74,2677.33333330154,2494.4062500149
"73",75,1402.13076923078,1487.67368421032
"74",76,3916.36249999981,3552.82499999925
"75",77,3204.04285714243,3083.88571428827
"76",78,2273.31538460805,1768.92631577191
"77",79,3416.81999993324,4367.73749998212
"78",80,1364.8,1151
"79",81,499.249999999993,729.124999999993
"80",82,1418.80000000001,1323.95
"81",83,3444.59999999404,3756.19999999801
"82",84,2254.95454545996,2541.11000000089
"83",85,3029.66000000834,3838.13333333035
"84",86,2482.19333333969,2057.13124999404
"85",87,1099.58333334078,1353.73684210526
"86",88,999.427272728898,551.1
"87",89,1349.93999999762,1306.91249999963
"88",90,2692.61333333353,2773.625
"89",91,2692.61333333353,2773.625
"90",92,2785.43464285654,3260.54307687669
"91",93,1738.0166666665,1847.74999999894
"92",94,1794.52499999851,1877.64999999925
"93",95,2084.39374998212,2242.9375000298
"94",96,3261.37142857143,2968.66923076923
"95",97,2706.90769229944,3175.95000000596
"96",98,1765.92380952409,1920.39090908928
"97",100,1040.62105263848,1154.40000000367
"98",101,1152.54999999205,1235.5444444418
"99",102,2246.20909091017,2236.82000000328
