"rt","stimulus","response","task","condition","random","trial_type","trial_index","time_elapsed","internal_node_id","match","hp_test"
"2607","jsPsych/img/25_big.jpg","f","test","up","0","image-keyboard-response","42","14177184","0.0-12.0-2.0","congruent","2"
"5608.5","jsPsych/img/07_big.jpg","j","test","down","0","image-keyboard-response","45","14185406","0.0-12.0-2.1","incongruent","2"
"3499.699999988079","jsPsych/img/04_big.jpg","j","test","down","0","image-keyboard-response","48","14192018","0.0-12.0-2.2","incongruent","2"
"3183.600000023842","jsPsych/img/19_big.jpg","f","test","up","0","image-keyboard-response","51","14197813","0.0-12.0-2.3","incongruent","2"
"3221","jsPsych/img/12_big.jpg","j","test","down","0","image-keyboard-response","54","14205147","0.0-12.0-2.4","incongruent","2"
"5274.099999964237","jsPsych/img/15_big.jpg","f","test","down","0","image-keyboard-response","57","14214283","0.0-12.0-2.5","incongruent","2"
"1340.6000000238419","jsPsych/img/06_big.jpg","j","test","down","0","image-keyboard-response","60","14218488","0.0-12.0-2.6","incongruent","2"
"6136.300000011921","jsPsych/img/10_big.jpg","j","test","down","0","image-keyboard-response","63","14227486","0.0-12.0-2.7","congruent","2"
"3777","jsPsych/img/34_big.jpg","f","test","up","0","image-keyboard-response","66","14234876","0.0-12.0-2.8","congruent","2"
"1841.3999999761581","jsPsych/img/27_big.jpg","f","test","up","0","image-keyboard-response","69","14239834","0.0-12.0-2.9","congruent","2"
"2297","jsPsych/img/33_big.jpg","j","test","up","0","image-keyboard-response","72","14245743","0.0-12.0-2.10","congruent","2"
"3194.599999964237","jsPsych/img/09_big.jpg","f","test","down","0","image-keyboard-response","75","14252299","0.0-12.0-2.11","incongruent","2"
"1912.8999999761581","jsPsych/img/01_big.jpg","f","test","down","0","image-keyboard-response","78","14258073","0.0-12.0-2.12","congruent","2"
"2483.900000035763","jsPsych/img/03_big.jpg","f","test","down","0","image-keyboard-response","81","14263418","0.0-12.0-2.13","incongruent","2"
